RT,SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FHICOVP,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB
P,843209,1,102,11,1001264,10,19,1,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0,15,,4,2,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0,0,17,0,3,15,16,0,2,0,0,10000,30,1,1,1,,2,51,935,,2,,,1,0,,,1,1,9290,181,109,,390,25,6,814,1,,0,4600,,10000,10000,25,,100,11,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,,,,,399011,,1
P,844025,1,104,11,1001264,20,46,1,,,2,2,2,2,2,,,2,,,2,,,2,2,2,1,2,2,2,0,,,,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,16,0,1,,14,0,1,0,0,0,,3,,,,1,902,999,,2,,,6,0,,,1,1,,,,,100,11,6,,1,,0,,,0,0,11,,,,2,1,1,2,2,2,0,0,1,0,1,0,0,0,0,,,,,,,1
P,845945,1,101,11,1001264,31,32,1,,3,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,60,1,1,2,1,2,2,1,2,2009,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,23,0,2,0,0,80000,40,1,1,1,,2,148,142,,2,1,,1,0,6199,,1,1,9470,106,55,,,,1,92MP,1,,0,2100,1,80000,80000,25,501,1100,24,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,2,1,,,2310XX,,1
P,845945,2,101,11,1001264,36,32,1,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,45,1,1,2,1,2,2,1,2,2009,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,23,0,1,0,0,170000,40,1,1,1,,2,148,142,,2,1,,1,0,5200,,1,1,8070,121,73,,,,1,62132,1,,0,3060,,170000,170000,24,501,1000,24,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,291060,,1
P,845945,3,101,11,1001264,35,1,1,,,,2,2,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,4,999,999,,2,,1,,0,,,1,1,,,,,,,,,1,1,1,,,,,11,501,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1
P,845945,4,101,11,1001264,36,1,1,,,,2,2,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,4,999,999,,2,,1,,0,,,1,1,,,,,,,,,1,1,1,,,,,11,501,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1
P,846894,1,103,11,1001264,77,79,1,,,2,2,2,2,2,,2,2,,,2,,,2,2,1,2,2,2,2,0,,,,2,1,2,2,1,2,1990,1,2,0,0,0,0,1,0,0,0,0,3,5,3,3,3,0,0,0,16400,1,,15,0,1,0,5200,0,,3,,2,,1,902,999,,2,,,6,0,,,1,1,,,,,,,1,,1,,0,,,0,21600,37,321,,,2,1,3,2,2,2,0,0,1,0,1,0,0,0,0,,,,,,13,1
P,846894,2,103,11,1001264,86,74,1,,,2,2,2,2,2,,,2,,,2,,,2,2,1,1,2,2,2,0,,,,2,1,2,2,1,2,1990,1,4,,,,,,,,,,2,3,2,2,2,0,0,1,0,1,,16,0,2,7500,22500,0,,3,,2,,1,902,999,,2,,,6,0,,,1,1,,,,,,,1,,1,,0,,4,0,30000,11,321,,,2,1,4,2,2,2,0,0,1,0,1,0,0,0,0,,,,,,,1
P,846894,3,103,11,1001264,89,24,1,,5,2,2,2,2,2,,,2,,,,,,2,1,2,2,2,2,2,0,45,1,1,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0,0,7,0,1,,21,0,1,0,0,8000,30,1,1,1,,4,999,999,,2,1,,1,0,5505,5506,1,1,8190,187,109,,,,6,622,1,,0,5240,,8000,8000,11,321,100,11,1,2,4,2,2,2,0,0,1,0,1,0,0,0,0,1,2,,,434051,,1
P,848011,1,103,11,1001264,62,59,1,,1,2,2,2,2,2,,,2,,,2,,,2,1,2,2,2,2,2,0,35,1,1,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,19,0,1,0,0,50000,40,1,1,1,,1,925,999,,2,1,,1,0,,,1,1,770,74,28,,,,6,23,1,,0,5700,,50000,50000,11,406,1000,24,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,,,,,436010,,1
